ID,Area,Mean,Min,Max,X,Y
1,0,55,55,55,517,144
2,0,37,37,37,516.5,155
3,0,27,27,27,511.5,163.5
4,0,20,20,20,503.5,147.5
5,0,29,29,29,495,135
6,0,57,57,57,504.5,118.5
7,0,76,76,76,499.5,112.5
8,0,31,31,31,492.5,148
9,0,33,33,33,495.333,127.667
10,0,59,59,59,476,114.333
11,0,57,57,57,508.667,101.667
12,0,39,39,39,525.333,94.667
13,0,34,34,34,518.333,86
14,0,23,23,23,505.667,87.333
15,0,23,23,23,504,79.333
16,0,40,40,40,526.333,74.667
17,0,32,32,32,542.333,80.333
18,0,35,35,35,547,92
19,0,34,34,34,556.333,123
20,0,35,35,35,568.333,111.333
21,0,52,52,52,581,102.667
22,0,36,36,36,581,114.667
23,0,52,52,52,569.667,126.667
24,0,60,60,60,596,128
25,0,37,37,37,567.333,150.333
26,0,37,37,37,563,157.667
27,0,31,31,31,547.667,149
28,0,34,34,34,541,162.667
29,0,57,57,57,532,171.333
30,0,45,45,45,542.667,173.667
31,0,41,41,41,556,178.333
32,0,67,67,67,569,189
33,0,64,64,64,580.667,184.667
34,0,39,39,39,597.667,181.667
35,0,55,55,55,505.667,178.333
36,0,44,44,44,492,164.667
37,0,85,85,85,464.333,153.333
38,0,27,27,27,470,158.667
39,0,54,54,54,455,127
40,0,43,43,43,451.333,143.667
41,0,34,34,34,463.667,139.333
42,0,69,69,69,449,162.667
43,0,60,60,60,455.667,177
44,0,37,37,37,442.333,184.333
45,0,34,34,34,452,192
46,0,39,39,39,470.333,203.667
47,0,51,51,51,466.667,215.333
48,0,50,50,50,468.333,224
49,0,55,55,55,464,233.333
50,0,36,36,36,454,233
51,0,37,37,37,451,222
52,0,41,41,41,444.667,200
53,0,38,38,38,428.667,198.333
54,0,45,45,45,425,206.667
55,0,58,58,58,486.667,219
56,0,47,47,47,497,212.667
57,0,39,39,39,498.333,227.333
58,0,52,52,52,509.667,225.333
59,0,54,54,54,505.667,192.333
60,0,48,48,48,518,191.667
61,0,33,33,33,522.667,198
62,0,52,52,52,539,192.333
63,0,54,54,54,541.333,205.667
64,0,41,41,41,533.333,221.333
65,0,28,28,28,520.667,229
66,0,30,30,30,516.333,242.667
67,0,46,46,46,554.333,205.667
68,0,46,46,46,563,222
69,0,60,60,60,576,208.667
70,0,59,59,59,590.667,232
71,0,40,40,40,617.667,221
72,0,52,52,52,607.667,236
73,0,51,51,51,470.667,242.333
74,0,31,31,31,479,248
75,0,56,56,56,501.667,256
76,0,58,58,58,504.333,265.333
77,0,46,46,46,479.667,266.333
78,0,25,25,25,472,281
79,0,37,37,37,486.667,285.333
80,0,35,35,35,508,285.667
81,0,46,46,46,497.667,306.333
82,0,55,55,55,455.333,275.667
83,0,50,50,50,455.667,307
84,0,34,34,34,465.667,311.333
85,0,94,94,94,430,233.333
86,0,61,61,61,426.333,168.667
87,0,27,27,27,417,166
88,0,24,24,24,406,176.333
89,0,27,27,27,413.333,186.667
90,0,20,20,20,413.333,195.667
91,0,37,37,37,402.667,158.333
92,0,52,52,52,418.667,149.333
93,0,48,48,48,421.667,134
94,0,47,47,47,432.333,118
95,0,51,51,51,440.667,96.333
96,0,33,33,33,467.667,98
97,0,42,42,42,466.667,86.667
98,0,34,34,34,462.667,69.333
99,0,52,52,52,472.667,64
100,0,26,26,26,475.333,74.333
101,0,43,43,43,490.667,65.333
102,0,59,59,59,503.333,60.667
103,0,44,44,44,509.667,54
104,0,30,30,30,505.667,43.667
105,0,61,61,61,390.333,158.333
106,0,42,42,42,381.667,138.667
107,0,50,50,50,390.333,131.667
108,0,64,64,64,369.667,134.333
109,0,57,57,57,375.333,161.333
110,0,32,32,32,377.333,171.667
111,0,61,61,61,373,180.333
112,0,45,45,45,368,187.667
113,0,62,62,62,371.667,201.667
114,0,28,28,28,388.333,197.333
115,0,38,38,38,359.667,159
116,0,40,40,40,338,172.667
117,0,33,33,33,344.667,178.333
118,0,28,28,28,382,230
119,0,42,42,42,445.667,245
120,0,80,80,80,429.667,267
121,0,101,101,101,414.667,260.667
122,0,48,48,48,406.333,276.667
123,0,65,65,65,412,281.667
124,0,55,55,55,418,292
125,0,55,55,55,416.333,297
126,0,36,36,36,403.333,295.667
127,0,64,64,64,436.667,316.333
128,0,49,49,49,428,318
129,0,68,68,68,399.667,312
130,0,44,44,44,403.333,321
131,0,66,66,66,387.667,344
132,0,42,42,42,396,347
133,0,45,45,45,410.333,344.667
134,0,58,58,58,410.333,350
135,0,42,42,42,420.333,347
136,0,40,40,40,434.333,350
137,0,55,55,55,443.333,345.333
138,0,66,66,66,443.667,336.333
139,0,54,54,54,453.333,351.667
140,0,83,83,83,490,348.667
141,0,51,51,51,525,348.333
142,0,40,40,40,535,348.333
143,0,42,42,42,534,354.667
144,0,41,41,41,515,355
145,0,35,35,35,548.667,353.333
146,0,53,53,53,575.667,336.333
147,0,43,43,43,557,334.333
148,0,33,33,33,547,321.667
149,0,44,44,44,541,313
150,0,70,70,70,540,297.333
151,0,48,48,48,543.333,291
152,0,38,38,38,540,276.333
153,0,65,65,65,544.667,259.667
154,0,51,51,51,537.667,245.667
155,0,72,72,72,566.667,257.667
156,0,43,43,43,568.333,268
157,0,36,36,36,565,281
158,0,65,65,65,586.333,273
159,0,33,33,33,581,288.333
160,0,44,44,44,581.333,300.333
161,0,63,63,63,568,300.333
162,0,43,43,43,573.333,324.667
163,0,29,29,29,592,313.667
164,0,39,39,39,586.667,256.667
165,0,35,35,35,594.75,156.25
166,0,26,26,26,605,162.5
167,0,41,41,41,631.25,161.75
168,0,34,34,34,627.5,155.75
169,0,56,56,56,625,164.25
170,0,39,39,39,638.25,157.5
171,0,42,42,42,634.5,147.5
172,0,49,49,49,615.25,136.75
173,0,42,42,42,615,126.5
174,0,40,40,40,625.75,119.5
175,0,30,30,30,615,114.25
176,0,50,50,50,636,187.25
177,0,68,68,68,646.25,186.5
178,0,41,41,41,654.5,171.75
179,0,62,62,62,665.75,174.25
180,0,43,43,43,673.5,173.5
