ID,Area,Mean,Min,Max,X,Y
1,0,145,145,145,67.333,35.667
2,0,112,112,112,50.333,41.667
3,0,130,130,130,22.667,48.333
4,0,151,151,151,26.667,67
5,0,170,170,170,30.667,79
6,0,115,115,115,11,86
7,0,91,91,91,25,98.333
8,0,151,151,151,29,114
9,0,174,174,174,15,118.333
10,0,122,122,122,11.667,136.667
11,0,88,88,88,47.667,97.667
12,0,127,127,127,67.667,110
13,0,93,93,93,66.667,118.667
14,0,115,115,115,72,93.667
15,0,131,131,131,84.333,78.333
16,0,127,127,127,79.333,63.667
17,0,87,87,87,107,50.333
18,0,120,120,120,123,25.667
19,0,84,84,84,130,49.333
20,0,99,99,99,145.333,57.667
21,0,155,155,155,131.667,68.333
22,0,93,93,93,93.333,86.667
23,0,74,74,74,93,92.333
24,0,96,96,96,87.667,121.667
25,0,121,121,121,111,124.667
26,0,108,108,108,115.333,113.333
27,0,100,100,100,125.667,116.333
28,0,84,84,84,137,81.333
29,0,105,105,105,182,81
30,0,99,99,99,173.667,87.667
31,0,152,152,152,166.333,108.667
32,0,111,111,111,207.333,86
33,0,123,123,123,199.667,65.333
34,0,199,199,199,207,30.333
35,0,87,87,87,179.333,31
36,0,121,121,121,161.333,18.667
37,0,124,124,124,181,6
38,0,95,95,95,194,5.333
39,0,97,97,97,223.667,4
40,0,98,98,98,213.333,3
41,0,89,89,89,248.333,23.667
42,0,132,132,132,250.333,1.667
43,0,143,143,143,273.667,17
44,0,148,148,148,290,3
45,0,152,152,152,141.667,142
46,0,117,117,117,151.333,150.667
47,0,102,102,102,143.333,157.333
48,0,117,117,117,113.333,167
49,0,106,106,106,82.667,156
50,0,117,117,117,237,52.667
51,0,89,89,89,257.333,74
52,0,146,146,146,288.333,65.333
53,0,172,172,172,281.333,59.667
54,0,109,109,109,308,41.333
55,0,135,135,135,340.333,31
56,0,98,98,98,342,12.333
57,0,74,74,74,300.667,9.333
58,0,117,117,117,188.333,155.333
59,0,116,116,116,217.667,160.333
60,0,104,104,104,216.333,121
61,0,156,156,156,252.333,147.333
62,0,66,66,66,239.667,71.667
63,0,98,98,98,312.667,49
64,0,97,97,97,321.667,49
65,0,111,111,111,303.667,80.333
66,0,135,135,135,315,101.667
67,0,133,133,133,291.333,106
68,0,150,150,150,282.333,112
69,0,109,109,109,288.667,120.333
70,0,107,107,107,278.333,123
71,0,122,122,122,66,195.333
72,0,74,74,74,42,194.667
73,0,128,128,128,75.667,211
74,0,141,141,141,97.333,207.667
75,0,116,116,116,105.667,204.333
76,0,130,130,130,141.667,230
77,0,121,121,121,91.667,233.333
78,0,128,128,128,90.667,243.667
79,0,110,110,110,117,267.333
80,0,157,157,157,122.667,286.667
81,0,126,126,126,71.333,267.667
82,0,123,123,123,36.667,261
83,0,73,73,73,44.667,255.333
84,0,87,87,87,32.667,253.667
85,0,114,114,114,53.333,294.667
86,0,96,96,96,64.333,295
87,0,101,101,101,31.667,293.333
88,0,111,111,111,51.667,277.667
89,0,74,74,74,31.333,273
90,0,114,114,114,46.333,223
91,0,115,115,115,136.667,176.333
92,0,131,131,131,144.333,193.333
93,0,142,142,142,134.333,190
94,0,106,106,106,174,201
95,0,131,131,131,163.667,222
96,0,82,82,82,183,184
97,0,85,85,85,190.667,174
98,0,72,72,72,168.667,183.333
99,0,73,73,73,155.667,174.667
100,0,72,72,72,161,136
101,0,136,136,136,266,95.667
102,0,93,93,93,237,111.333
103,0,125,125,125,300.333,147.333
104,0,83,83,83,271.333,136
105,0,119,119,119,304.667,151.667
106,0,114,114,114,311.667,159.333
107,0,125,125,125,343,130
108,0,84,84,84,309.667,128.667
109,0,182,182,182,282.333,154
110,0,117,117,117,256.667,171
111,0,125,125,125,258.333,180.667
112,0,132,132,132,272,214
113,0,109,109,109,260.667,222
114,0,131,131,131,269.333,228.333
115,0,100,100,100,236,177.333
116,0,90,90,90,224.667,191
117,0,95,95,95,207.333,186.333
118,0,62,62,62,202,191.333
119,0,69,69,69,206.333,202.667
120,0,81,81,81,213.333,210.333
121,0,173,173,173,183.333,248.667
122,0,93,93,93,213.333,262
123,0,121,121,121,211.667,238.667
124,0,144,144,144,229.667,254
125,0,96,96,96,191.333,265
126,0,93,93,93,182,285
127,0,113,113,113,188.667,292
128,0,87,87,87,206,287
129,0,127,127,127,169.667,265
130,0,151,151,151,174,302
131,0,122,122,122,161,296.667
132,0,159,159,159,147.667,313
133,0,87,87,87,164.333,316.667
134,0,128,128,128,117,319.333
135,0,130,130,130,99.667,317.667
136,0,142,142,142,190.333,336.667
137,0,85,85,85,168.667,342.667
138,0,146,146,146,100.667,345
139,0,121,121,121,50,335.333
140,0,127,127,127,7.667,308
141,0,163,163,163,17,347
142,0,153,153,153,22,374.667
143,0,102,102,102,30.667,384
144,0,101,101,101,72,381
145,0,98,98,98,61.333,383.333
146,0,76,76,76,45,362.333
147,0,101,101,101,90.333,381.333
148,0,143,143,143,117.667,378.333
149,0,130,130,130,114,373.667
150,0,144,144,144,102,389.333
151,0,95,95,95,113,395.333
152,0,73,73,73,113.333,388
153,0,137,137,137,127,392.667
154,0,187,187,187,132.333,396.667
155,0,178,178,178,137.333,367.333
156,0,80,80,80,167,368
157,0,88,88,88,182.5,378
158,0,134,134,134,184.5,357
159,0,150,150,150,210,359.5
160,0,112,112,112,213,375.5
161,0,88,88,88,228.5,377
162,0,93,93,93,203.5,391.5
163,0,136,136,136,173.5,403.5
164,0,134,134,134,183.5,410.5
165,0,102,102,102,215,315
166,0,85,85,85,215.5,323.5
167,0,132,132,132,233,299.5
168,0,38,38,38,234,309
169,0,126,126,126,261.5,277
170,0,179,179,179,289.5,281.5
171,0,119,119,119,282.5,275.5
172,0,96,96,96,309.5,275
173,0,107,107,107,246.5,341.5
174,0,112,112,112,11,427.5
175,0,100,100,100,37,440
176,0,79,79,79,8,436
177,0,87,87,87,5,461.5
178,0,129,129,129,28.5,456.5
179,0,117,117,117,38.5,457.5
180,0,96,96,96,49,455.5
181,0,107,107,107,60.5,426
182,0,110,110,110,45.5,423
183,0,64,64,64,62,412.5
184,0,122,122,122,80.5,448.5
185,0,88,88,88,87,440.5
186,0,68,68,68,108,427.5
187,0,108,108,108,122,434
188,0,143,143,143,128,428.5
189,0,119,119,119,137,436.5
190,0,111,111,111,139,429
191,0,83,83,83,130.5,450
192,0,78,78,78,118,450.5
193,0,129,129,129,108,473.5
194,0,74,74,74,79.5,481
195,0,116,116,116,127,488.5
196,0,130,130,130,73,505
197,0,105,105,105,40.5,517
198,0,90,90,90,15.5,499
199,0,119,119,119,5,531.5
200,0,117,117,117,7.5,539
201,0,96,96,96,11,557.5
202,0,97,97,97,23,550
203,0,72,72,72,51.5,549.5
204,0,145,145,145,82.5,554
205,0,116,116,116,82,566.5
206,0,70,70,70,72,553
207,0,67,67,67,77.5,529.5
208,0,63,63,63,83,514
209,0,91,91,91,94,511.5
210,0,88,88,88,114.5,511
211,0,78,78,78,128,514
212,0,51,51,51,136.5,506
213,0,85,85,85,147,520
214,0,83,83,83,99,572
215,0,72,72,72,110.5,545
216,0,92,92,92,46,571
217,0,136,136,136,15.5,585
218,0,84,84,84,32.5,600.5
219,0,134,134,134,10,610.5
220,0,99,99,99,37,620
221,0,93,93,93,62,600.5
222,0,111,111,111,83.5,600.5
223,0,72,72,72,100.5,599.5
224,0,78,78,78,102,614
225,0,63,63,63,86,616
226,0,140,140,140,71.5,624.5
227,0,77,77,77,78.5,643.5
228,0,145,145,145,64.5,651
229,0,122,122,122,57,661.5
230,0,99,99,99,104,636.5
231,0,167,167,167,109,652
232,0,92,92,92,74.5,685
233,0,45,45,45,39.5,649
234,0,148,148,148,65.5,715
235,0,144,144,144,22,751.5
236,0,116,116,116,88.5,738
237,0,109,109,109,104,725.5
238,0,117,117,117,92,750
239,0,76,76,76,134,672
240,0,106,106,106,156.5,655
241,0,56,56,56,153,661.5
242,0,131,131,131,155.5,631.5
243,0,95,95,95,135.5,633
244,0,61,61,61,135,648.5
245,0,114,114,114,145.5,569.5
246,0,105,105,105,148.5,560.5
247,0,135,135,135,121,571.5
248,0,77,77,77,129.5,546
249,0,125,125,125,179,553.5
250,0,135,135,135,183.5,528.5
251,0,77,77,77,162.5,619
252,0,96,96,96,190.5,604.5
253,0,70,70,70,197.5,578.5
254,0,114,114,114,183,483
255,0,131,131,131,170.5,472.5
256,0,126,126,126,151,486.5
257,0,93,93,93,184.5,433
258,0,37,37,37,188,447.5
259,0,109,109,109,212,446.5
260,0,87,87,87,210,455.5
261,0,93,93,93,223,480.5
262,0,153,153,153,207.5,510
263,0,100,100,100,213.5,548
264,0,133,133,133,207,561.5
265,0,143,143,143,223,576.5
266,0,72,72,72,224,561.5
267,0,124,124,124,234.5,560.5
268,0,134,134,134,244.5,552.5
269,0,87,87,87,251,581
270,0,57,57,57,242,588
271,0,103,103,103,251.5,615.5
272,0,95,95,95,236.5,625
273,0,95,95,95,239.5,633.5
274,0,68,68,68,227.5,631.5
275,0,118,118,118,209,622
276,0,104,104,104,188,658.5
277,0,133,133,133,186.5,676.5
278,0,71,71,71,202.5,665
279,0,115,115,115,162,699
280,0,134,134,134,151.5,699.5
281,0,88,88,88,126.5,704
282,0,129,129,129,133,743
283,0,79,79,79,124.5,738
284,0,87,87,87,151,747.5
285,0,71,71,71,156.5,733.5
286,0,71,71,71,166,744
287,0,79,79,79,180,759
288,0,80,80,80,182,733.5
289,0,109,109,109,173.5,722.5
290,0,109,109,109,167,717.5
291,0,71,71,71,194,719.5
292,0,62,62,62,192,700.5
293,0,99,99,99,210.5,709
294,0,107,107,107,217.5,746
295,0,86,86,86,255.5,751
296,0,117,117,117,252.5,762
297,0,125,125,125,259.5,721.5
298,0,130,130,130,239,718.5
299,0,118,118,118,247,695
300,0,161,161,161,223.5,685.5
301,0,102,102,102,311,720
302,0,103,103,103,232,431
303,0,119,119,119,238.5,408
304,0,121,121,121,249,409.5
