 ,Area,Mean,Min,Max,X,Y
2026,0,47,47,47,890.000,841.000
2027,0,48,48,48,891.000,833.000
2028,0,25,25,25,893.500,811.000
2029,0,38,38,38,905.000,811.000
2030,0,43,43,43,932.500,825.000
2031,0,25,25,25,941.000,820.000
2032,0,47,47,47,972.000,817.500
2033,0,12,12,12,969.000,829.500
2034,0,29,29,29,958.000,836.500
2035,0,39,39,39,969.000,870.000
2036,0,34,34,34,941.000,877.000
2037,0,40,40,40,952.000,882.500
2038,0,28,28,28,971.000,895.500
2039,0,30,30,30,986.500,907.000
2040,0,35,35,35,996.500,873.500
2041,0,34,34,34,995.000,884.000
2042,0,34,34,34,1005.000,887.500
2043,0,31,31,31,1002.500,894.500
2044,0,31,31,31,1025.000,909.500
2045,0,49,49,49,1032.500,911.500
2046,0,46,46,46,1042.500,906.000
2047,0,43,43,43,1040.500,891.000
2048,0,35,35,35,1060.000,884.000
2049,0,12,12,12,1074.500,899.500
2050,0,36,36,36,1042.500,932.500
2051,0,41,41,41,1016.000,956.000
2052,0,25,25,25,998.000,946.500
2053,0,27,27,27,986.500,932.500
2054,0,35,35,35,971.500,937.500
2055,0,27,27,27,961.000,937.000
2056,0,35,35,35,991.667,958.000
2057,0,27,27,27,1009.500,962.000
2058,0,27,27,27,1032.500,1002.500
2059,0,43,43,43,1038.500,998.500
2060,0,51,51,51,1042.667,1006.667
2061,0,42,42,42,1048.500,1001.000
2062,0,25,25,25,1006.667,984.000
2063,0,34,34,34,992.333,1003.667
2064,0,35,35,35,1045.000,962.000
2065,0,32,32,32,1049.667,979.000
2066,0,21,21,21,1041.333,975.667
2067,0,20,20,20,1061.000,986.000
2068,0,36,36,36,1081.667,957.333
2069,0,38,38,38,1093.667,979.333
2070,0,38,38,38,1108.333,997.667
2071,0,39,39,39,1112.000,1016.000
2072,0,46,46,46,1100.667,1021.333
2073,0,38,38,38,1132.333,1002.667
2074,0,41,41,41,1136.000,959.000
2075,0,44,44,44,1148.667,964.333
2076,0,44,44,44,1163.667,960.667
2077,0,51,51,51,1018.333,826.333
2078,0,35,35,35,999.000,832.333
2079,0,26,26,26,999.667,845.333
2080,0,29,29,29,993.667,852.667
2081,0,28,28,28,1001.667,859.667
2082,0,33,33,33,1010.333,853.000
2083,0,22,22,22,1041.000,836.000
2084,0,30,30,30,1026.000,817.667
2085,0,27,27,27,1042.333,809.333
2086,0,24,24,24,1050.333,814.667
2087,0,23,23,23,1054.000,836.667
2088,0,17,17,17,1067.000,840.667
2089,0,58,58,58,1081.333,841.667
2090,0,71,71,71,1093.000,844.000
2091,0,36,36,36,1123.667,876.000
2092,0,20,20,20,1114.333,861.333
