 ,Area,Mean,Min,Max,X,Y
1,0.000,55,55,55,3.590,1.000
2,0.000,37,37,37,3.587,1.076
3,0.000,27,27,27,3.552,1.135
4,0.000,20,20,20,3.497,1.024
5,0.000,29,29,29,3.438,0.938
6,0.000,57,57,57,3.503,0.823
7,0.000,76,76,76,3.469,0.781
8,0.000,31,31,31,3.420,1.028
9,0.000,33,33,33,3.440,0.887
10,0.000,59,59,59,3.306,0.794
11,0.000,57,57,57,3.532,0.706
12,0.000,39,39,39,3.648,0.657
13,0.000,34,34,34,3.600,0.597
14,0.000,23,23,23,3.512,0.606
15,0.000,23,23,23,3.500,0.551
16,0.000,40,40,40,3.655,0.519
17,0.000,32,32,32,3.766,0.558
18,0.000,35,35,35,3.799,0.639
19,0.000,34,34,34,3.863,0.854
20,0.000,35,35,35,3.947,0.773
21,0.000,52,52,52,4.035,0.713
22,0.000,36,36,36,4.035,0.796
23,0.000,52,52,52,3.956,0.880
24,0.000,60,60,60,4.139,0.889
25,0.000,37,37,37,3.940,1.044
26,0.000,37,37,37,3.910,1.095
27,0.000,31,31,31,3.803,1.035
28,0.000,34,34,34,3.757,1.130
29,0.000,57,57,57,3.694,1.190
30,0.000,45,45,45,3.769,1.206
31,0.000,41,41,41,3.861,1.238
32,0.000,67,67,67,3.951,1.312
33,0.000,64,64,64,4.032,1.282
34,0.000,39,39,39,4.150,1.262
35,0.000,55,55,55,3.512,1.238
36,0.000,44,44,44,3.417,1.144
37,0.000,85,85,85,3.225,1.065
38,0.000,27,27,27,3.264,1.102
39,0.000,54,54,54,3.160,0.882
40,0.000,43,43,43,3.134,0.998
41,0.000,34,34,34,3.220,0.968
42,0.000,69,69,69,3.118,1.130
43,0.000,60,60,60,3.164,1.229
44,0.000,37,37,37,3.072,1.280
45,0.000,34,34,34,3.139,1.333
46,0.000,39,39,39,3.266,1.414
47,0.000,51,51,51,3.241,1.495
48,0.000,50,50,50,3.252,1.556
49,0.000,55,55,55,3.222,1.620
50,0.000,36,36,36,3.153,1.618
51,0.000,37,37,37,3.132,1.542
52,0.000,41,41,41,3.088,1.389
53,0.000,38,38,38,2.977,1.377
54,0.000,45,45,45,2.951,1.435
55,0.000,58,58,58,3.380,1.521
56,0.000,47,47,47,3.451,1.477
57,0.000,39,39,39,3.461,1.579
58,0.000,52,52,52,3.539,1.565
59,0.000,54,54,54,3.512,1.336
60,0.000,48,48,48,3.597,1.331
61,0.000,33,33,33,3.630,1.375
62,0.000,52,52,52,3.743,1.336
63,0.000,54,54,54,3.759,1.428
64,0.000,41,41,41,3.704,1.537
65,0.000,28,28,28,3.616,1.590
66,0.000,30,30,30,3.586,1.685
67,0.000,46,46,46,3.850,1.428
68,0.000,46,46,46,3.910,1.542
69,0.000,60,60,60,4.000,1.449
70,0.000,59,59,59,4.102,1.611
71,0.000,40,40,40,4.289,1.535
72,0.000,52,52,52,4.220,1.639
73,0.000,51,51,51,3.269,1.683
74,0.000,31,31,31,3.326,1.722
75,0.000,56,56,56,3.484,1.778
76,0.000,58,58,58,3.502,1.843
77,0.000,46,46,46,3.331,1.850
78,0.000,25,25,25,3.278,1.951
79,0.000,37,37,37,3.380,1.981
80,0.000,35,35,35,3.528,1.984
81,0.000,46,46,46,3.456,2.127
82,0.000,55,55,55,3.162,1.914
83,0.000,50,50,50,3.164,2.132
84,0.000,34,34,34,3.234,2.162
85,0.000,94,94,94,2.986,1.620
86,0.000,61,61,61,2.961,1.171
87,0.000,27,27,27,2.896,1.153
88,0.000,24,24,24,2.819,1.225
89,0.000,27,27,27,2.870,1.296
90,0.000,20,20,20,2.870,1.359
91,0.000,37,37,37,2.796,1.100
92,0.000,52,52,52,2.907,1.037
93,0.000,48,48,48,2.928,0.931
94,0.000,47,47,47,3.002,0.819
95,0.000,51,51,51,3.060,0.669
96,0.000,33,33,33,3.248,0.681
97,0.000,42,42,42,3.241,0.602
98,0.000,34,34,34,3.213,0.481
99,0.000,52,52,52,3.282,0.444
100,0.000,26,26,26,3.301,0.516
101,0.000,43,43,43,3.407,0.454
102,0.000,59,59,59,3.495,0.421
103,0.000,44,44,44,3.539,0.375
104,0.000,30,30,30,3.512,0.303
105,0.000,61,61,61,2.711,1.100
106,0.000,42,42,42,2.650,0.963
107,0.000,50,50,50,2.711,0.914
108,0.000,64,64,64,2.567,0.933
109,0.000,57,57,57,2.606,1.120
110,0.000,32,32,32,2.620,1.192
111,0.000,61,61,61,2.590,1.252
112,0.000,45,45,45,2.556,1.303
113,0.000,62,62,62,2.581,1.400
114,0.000,28,28,28,2.697,1.370
115,0.000,38,38,38,2.498,1.104
116,0.000,40,40,40,2.347,1.199
117,0.000,33,33,33,2.394,1.238
118,0.000,28,28,28,2.653,1.597
119,0.000,42,42,42,3.095,1.701
120,0.000,80,80,80,2.984,1.854
121,0.000,101,101,101,2.880,1.810
122,0.000,48,48,48,2.822,1.921
123,0.000,65,65,65,2.861,1.956
124,0.000,55,55,55,2.903,2.028
125,0.000,55,55,55,2.891,2.062
126,0.000,36,36,36,2.801,2.053
